F1210, Ho Chi Minh, Hue, 12/11/2023 09:00, 12/11/2023 10:45, 1500000, 300, 
F1212, Ha Noi, Phu Quoc, 15/11/2023 10:30, 15/11/2023 12:30, 1800000, 200, 
F1220, London, Rome, 20/11/2023 06:00, 20/11/2023 10:00, 2000000, 290, 
F1222, Seoul, Tokyo, 20/11/2023 10:00, 20/11/2023 10:30, 1000000, 250, 
F1223, Ho Chi Minh, Ha Noi, 22/10/2023 08:00, 22/10/2023 10:00, 2000000, 350, 
F1224, Da Nang, Van Don, 26/10/2023 15:30, 26/10/2023 17:00, 1800000, 270, 
F1225, Ha Noi, Hue, 26/10/2023 12:00, 26/10/2023 13:15, 1400000, 200, 
F1230, Lien Khuong, Bangkok, 30/10/2023 10:30, 30/10/2023 12:10, 1600000, 300, 
F1231, Ho Chi Minh, Cat Bi, 01/11/2023 12:30, 01/11/2023 14:40, 2200000, 300, 
F1232, Hue, Ho Chi Minh, 02/11/2023 12:30, 02/11/2023 14:15, 2300000, 200, 
F1240, New York, Vancouver, 10/11/2023 15:00, 10/11/2023 19:00, 3000000, 300, 
F1241, Munich, Lisbon, 12/11/2023 02:00, 12/11/2023 06:30, 3000000, 200, 
F1245, Ho Chi Minh, Da Nang, 21/10/2023 13:00, 21/10/2023 14:20, 2000000, 200, 
F1247, Ho Chi Minh, Lien Khuong, 22/10/2023 12:00, 22/10/2023 13:00, 1400000, 200, 
F1250, Ha Noi, Ho Chi Minh, 23/10/2023 14:00, 23/10/2023 15:45, 2100000, 250, 
F1251, Ho Chi Minh, Chu Lai, 24/10/2023 08:00, 24/10/2023 09:20, 1600000, 250, 
F1252, Ha Noi, Cam Ranh, 25/10/2023 09:00, 25/10/2023 11:00, 20000000, 230, 
F1254, Ho Chi Minh, Can Tho, 26/10/2023 10:00, 26/10/2023 10:30, 1200000, 150, 
